2017-04-16 20:21:19,612 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RestEasyApp:RestEasyApp:0.0.1-SNAPSHOT @ D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\pom.xml.
2017-04-16 20:23:02,540 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RestEasyApp/src
2017-04-16 20:23:02,543 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /RestEasyApp/src/test/java because it overlaps with /RestEasyApp/src
2017-04-16 20:23:29,195 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 257 sec
2017-04-16 20:23:53,914 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-16 20:23:54,380 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\main\resources
2017-04-16 20:23:54,389 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-16 20:23:54,426 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\test\resources
2017-04-16 20:31:35,183 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-16 20:31:35,243 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\main\resources
2017-04-16 20:31:35,247 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-16 20:31:35,261 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\test\resources
2017-04-17 02:55:58,186 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RestEasyApp:RestEasyApp:0.0.1-SNAPSHOT @ D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\pom.xml.
2017-04-17 02:55:58,199 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RestEasyApp:RestEasyApp:0.0.1-SNAPSHOT @ D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\pom.xml.
2017-04-17 02:56:37,811 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-17 02:56:38,020 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\main\resources
2017-04-17 02:56:40,780 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-17 02:56:40,811 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RestEasyApp:RestEasyApp:0.0.1-SNAPSHOT @ D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\pom.xml.
2017-04-17 02:56:41,015 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\test\resources
2017-04-17 02:57:00,038 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-17 02:57:00,055 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\main\resources
2017-04-17 02:57:00,059 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-17 02:57:00,071 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Web\pweb\Workspaace\AjudanteVeterinario\RestEasyApp\src\test\resources
2017-04-17 11:07:53,789 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RestEasyApp:RestEasyApp:0.0.1-SNAPSHOT @ D:\Java\Web\pweb\AjudanteVeterinarioV2\AjudanteVeterinario\RestEasyApp\pom.xml.
2017-04-17 11:08:06,168 [Worker-15] INFO  o.e.m.c.i.p.r.ProjectRegistryRefreshJob - org.eclipse.m2e.core.internal.project.registry.ProjectRegistryRefreshJob was canceled
